,date,score
0,2001-07-17,4.71875
1,2002-07-17,4.689655172413793
2,2003-06-17,4.758620689655173
3,2003-07-17,4.734513274336283
4,2004-06-17,4.61
5,2004-07-17,4.785046728971962
6,2005-07-17,4.534883720930233
7,2006-07-17,4.537634408602151
8,2007-07-17,4.525773195876289
9,2008-07-17,4.677083333333333
10,2009-07-17,4.466666666666667
11,2010-06-17,4.679245283018868
12,2010-07-17,4.928571428571429
13,2011-06-17,4.791666666666667
14,2012-06-17,4.589285714285714
15,2013-06-17,4.597560975609756
16,2014-06-17,4.388888888888889
17,2015-06-17,3.625
18,2016-06-17,3.625
19,2017-05-23,4.3478260869565215
20,2017-05-24,4.688524590163935
21,2017-05-25,4.440860215053763
22,2017-05-26,4.595238095238095
23,2017-05-27,4.783333333333333
24,2017-05-28,4.863636363636363
25,2017-05-29,4.626373626373627
26,2017-05-30,4.602941176470588
27,2017-05-31,4.280405405405405
28,2017-06-01,4.516624040920716
29,2017-06-02,4.523605150214593
30,2017-06-03,4.651851851851852
31,2017-06-04,4.487804878048781
32,2017-06-05,4.752
33,2017-06-06,4.71304347826087
34,2017-06-07,4.536082474226804
35,2017-06-08,4.538461538461538
36,2017-06-09,4.595238095238095
37,2017-06-10,4.181818181818182
38,2017-06-17,3.8333333333333335
39,2018-06-17,3.2777777777777777
40,2019-06-17,3.2222222222222223
41,2020-06-17,3.8
42,2021-06-17,2.3333333333333335
43,2022-06-17,2.8
44,2023-06-17,3.090909090909091
45,2024-06-17,3.2
46,2025-06-17,2.8
47,2026-06-17,3.4
48,2027-06-17,4.562893081761007
49,2028-06-17,4.667493796526054
50,2029-06-17,4.644268774703558
